person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
28,145953,OWN,5.6,VENTURE,G,3055,6.22,0.02,Y,29,0
38,107439,OTHER,32.9,VENTURE,B,11945,23.73,0.11,Y,25,0
62,57609,MORTGAGE,35.2,PERSONAL,G,11141,5.6,0.19,Y,11,0
43,79515,MORTGAGE,1.1,PERSONAL,C,2367,22.78,0.03,Y,25,0
46,22189,OTHER,30.5,DEBTCONSOLIDATION,E,11624,8.16,0.52,Y,13,0
25,120069,RENT,4.5,VENTURE,D,27702,22.12,0.23,N,6,0
60,10189,MORTGAGE,19.0,MEDICAL,B,21660,18.13,2.13,N,21,0
26,135249,OTHER,29.9,HOMEIMPROVEMENT,B,8746,9.39,0.06,Y,27,0
34,182807,RENT,29.7,DEBTCONSOLIDATION,D,19000,22.74,0.1,Y,9,1
31,182849,MORTGAGE,13.1,VENTURE,F,34573,15.34,0.19,N,26,0
40,120630,MORTGAGE,26.4,HOMEIMPROVEMENT,F,2742,19.96,0.02,N,22,1
32,57755,RENT,5.7,PERSONAL,G,16086,8.24,0.28,N,2,0
50,100151,OWN,25.1,HOMEIMPROVEMENT,D,30129,24.85,0.3,N,21,1
48,40885,MORTGAGE,26.2,HOMEIMPROVEMENT,C,22602,24.93,0.55,Y,10,1
51,153891,OTHER,26.5,DEBTCONSOLIDATION,G,22937,20.27,0.15,N,4,0
47,178373,RENT,38.6,EDUCATION,A,15384,24.5,0.09,Y,5,0
38,43108,MORTGAGE,12.3,VENTURE,E,5937,24.33,0.14,Y,14,0
52,61086,OWN,33.6,EDUCATION,G,1595,8.97,0.03,N,18,0
29,157556,RENT,32.0,MEDICAL,E,15601,18.87,0.1,Y,13,1
63,53420,OWN,33.7,DEBTCONSOLIDATION,B,28288,22.17,0.53,N,3,0
45,87724,OTHER,36.0,VENTURE,D,31171,11.44,0.36,N,2,1
65,155688,MORTGAGE,8.4,DEBTCONSOLIDATION,E,4878,6.18,0.03,N,6,1
30,73560,OTHER,31.5,DEBTCONSOLIDATION,D,26124,16.83,0.36,Y,28,1
34,82408,OWN,35.7,PERSONAL,F,10451,9.12,0.13,Y,23,1
40,12823,RENT,20.8,HOMEIMPROVEMENT,A,31374,9.64,2.45,N,11,0
54,169917,OTHER,6.1,DEBTCONSOLIDATION,C,18332,23.99,0.11,Y,14,0
36,39579,OTHER,17.0,EDUCATION,F,32435,20.17,0.82,Y,18,1
58,167036,MORTGAGE,9.7,DEBTCONSOLIDATION,D,28842,13.43,0.17,Y,29,0
37,75973,MORTGAGE,16.8,MEDICAL,C,5945,5.26,0.08,N,9,0
34,164949,OTHER,26.6,PERSONAL,G,32472,16.21,0.2,N,21,0
62,110292,RENT,24.1,HOMEIMPROVEMENT,G,6960,16.51,0.06,Y,26,1
57,186320,OTHER,32.6,DEBTCONSOLIDATION,F,3112,11.95,0.02,N,29,0
53,19771,OTHER,32.5,DEBTCONSOLIDATION,F,28798,18.38,1.46,Y,8,1
21,175287,MORTGAGE,4.0,VENTURE,G,2359,19.58,0.01,N,13,0
42,102373,OWN,11.1,PERSONAL,C,30528,18.98,0.3,N,26,0
33,156401,MORTGAGE,29.6,MEDICAL,G,11775,21.89,0.08,Y,12,1
54,69656,MORTGAGE,33.1,PERSONAL,F,6426,17.79,0.09,N,21,0
31,110321,OWN,10.6,DEBTCONSOLIDATION,D,23476,11.74,0.21,N,30,0
30,54182,MORTGAGE,0.6,EDUCATION,E,20850,23.18,0.38,N,26,1
31,114325,RENT,7.9,PERSONAL,F,27018,22.04,0.24,Y,24,1
42,114007,OWN,36.9,PERSONAL,G,19761,17.27,0.17,Y,12,0
48,20688,OWN,21.9,DEBTCONSOLIDATION,C,2227,14.89,0.11,Y,9,0
48,179841,OWN,5.8,MEDICAL,B,1861,22.15,0.01,N,28,0
55,154500,OWN,16.5,HOMEIMPROVEMENT,E,26689,17.55,0.17,N,25,1
43,79089,OTHER,14.8,EDUCATION,C,23901,6.54,0.3,Y,12,0
64,74722,OWN,3.9,HOMEIMPROVEMENT,F,31677,15.71,0.42,Y,27,0
34,198771,MORTGAGE,28.7,DEBTCONSOLIDATION,E,15177,14.31,0.08,Y,16,0
51,164943,OTHER,2.6,EDUCATION,A,29890,16.18,0.18,Y,30,0
65,48765,RENT,27.3,PERSONAL,F,18593,16.4,0.38,Y,24,1
47,194606,OWN,39.4,EDUCATION,F,30129,11.2,0.15,N,12,0
52,116729,OWN,30.7,DEBTCONSOLIDATION,E,21108,22.25,0.18,Y,24,0
57,41374,RENT,24.6,HOMEIMPROVEMENT,D,11064,19.65,0.27,Y,21,0
31,57510,RENT,26.0,VENTURE,F,8331,11.64,0.14,Y,14,0
63,111567,OTHER,15.3,VENTURE,B,22998,8.66,0.21,N,13,0
47,76063,OTHER,3.6,MEDICAL,D,13646,9.53,0.18,Y,12,0
26,147328,MORTGAGE,0.8,HOMEIMPROVEMENT,A,4376,18.65,0.03,Y,7,1
53,13297,RENT,13.1,MEDICAL,A,25065,22.19,1.89,Y,8,0
51,57654,OWN,39.0,PERSONAL,G,10636,16.99,0.18,Y,30,1
31,142993,OWN,32.6,VENTURE,A,3041,23.71,0.02,Y,27,0
38,38252,MORTGAGE,27.3,HOMEIMPROVEMENT,E,11469,23.0,0.3,N,8,0
59,98446,OTHER,37.1,HOMEIMPROVEMENT,G,25983,20.68,0.26,Y,23,0
41,74545,MORTGAGE,5.7,VENTURE,B,26995,5.83,0.36,Y,17,0
62,195502,RENT,33.9,PERSONAL,F,21507,23.24,0.11,N,26,0
32,84071,MORTGAGE,5.4,EDUCATION,C,28439,13.08,0.34,N,4,0
51,37346,MORTGAGE,22.5,HOMEIMPROVEMENT,D,20547,14.95,0.55,N,26,0
23,148294,RENT,7.5,PERSONAL,C,11861,17.82,0.08,Y,19,1
39,110899,OWN,14.1,HOMEIMPROVEMENT,A,28929,19.77,0.26,Y,18,0
64,21723,OWN,3.9,EDUCATION,B,21491,6.46,0.99,Y,17,1
60,170698,RENT,1.8,VENTURE,B,8123,23.49,0.05,Y,30,1
41,56414,OTHER,33.1,MEDICAL,G,26842,5.9,0.48,Y,21,1
62,77681,OTHER,27.2,DEBTCONSOLIDATION,G,20799,9.1,0.27,N,15,0
46,118433,OTHER,11.1,EDUCATION,G,32495,10.07,0.27,Y,22,0
22,192452,OTHER,5.2,DEBTCONSOLIDATION,B,5121,17.75,0.03,Y,7,0
51,27432,OWN,21.5,EDUCATION,F,17309,24.11,0.63,N,11,1
38,159450,MORTGAGE,4.3,PERSONAL,D,13746,24.0,0.09,N,8,1
22,132934,OTHER,4.4,EDUCATION,A,25932,8.69,0.2,Y,9,0
43,124847,OWN,17.7,PERSONAL,F,33505,20.34,0.27,Y,26,1
40,21470,RENT,37.9,MEDICAL,G,16936,23.44,0.79,N,16,1
61,24792,OTHER,15.2,MEDICAL,E,4671,9.5,0.19,Y,12,0
48,16634,OTHER,2.8,EDUCATION,E,19361,16.14,1.16,Y,19,0
23,39193,RENT,16.4,HOMEIMPROVEMENT,A,11635,19.48,0.3,N,13,1
26,189389,OWN,0.2,PERSONAL,E,4328,21.27,0.02,Y,29,1
60,19226,RENT,0.8,VENTURE,E,25800,10.65,1.34,N,16,0
35,189013,OTHER,24.5,MEDICAL,F,30317,14.58,0.16,Y,16,0
43,68678,OWN,11.5,DEBTCONSOLIDATION,B,25957,24.98,0.38,Y,13,0
47,88605,OWN,1.7,VENTURE,F,15375,24.75,0.17,Y,28,0
33,116376,OTHER,35.3,VENTURE,F,30142,13.88,0.26,N,16,0
40,184423,OTHER,5.3,HOMEIMPROVEMENT,B,16622,9.34,0.09,Y,20,1
62,172234,MORTGAGE,36.0,HOMEIMPROVEMENT,G,27252,12.5,0.16,N,8,0
50,38481,OTHER,12.0,HOMEIMPROVEMENT,D,3834,8.99,0.1,N,19,0
62,110739,OTHER,7.2,VENTURE,A,14030,12.72,0.13,Y,10,0
63,157682,OWN,25.6,HOMEIMPROVEMENT,G,13463,8.01,0.09,N,16,0
28,137581,MORTGAGE,24.4,HOMEIMPROVEMENT,E,2813,18.52,0.02,Y,4,1
23,96902,RENT,12.5,MEDICAL,B,10369,24.16,0.11,N,28,1
59,92706,OTHER,19.0,DEBTCONSOLIDATION,B,19488,11.06,0.21,Y,30,0
30,118838,RENT,21.3,HOMEIMPROVEMENT,D,10873,16.23,0.09,N,24,0
64,75376,RENT,26.6,EDUCATION,D,6861,20.11,0.09,Y,30,1
44,135011,OWN,30.7,HOMEIMPROVEMENT,F,24249,23.62,0.18,Y,16,0
51,186098,MORTGAGE,35.4,PERSONAL,C,5014,8.54,0.03,N,23,0
29,39090,OWN,38.5,MEDICAL,C,5944,12.09,0.15,N,2,0
57,119507,OWN,14.6,MEDICAL,B,34147,10.6,0.29,Y,17,0
30,23634,OWN,28.0,MEDICAL,D,28873,11.75,1.22,N,25,0
62,130084,RENT,13.3,PERSONAL,B,1199,19.69,0.01,Y,11,0
50,109619,OTHER,1.4,DEBTCONSOLIDATION,C,25085,11.71,0.23,N,15,0
28,100764,MORTGAGE,22.1,VENTURE,C,17976,6.67,0.18,N,23,0
62,93522,RENT,0.9,EDUCATION,G,7515,9.86,0.08,Y,13,1
56,72113,RENT,34.5,PERSONAL,F,1381,19.73,0.02,N,29,0
24,50958,OTHER,25.2,MEDICAL,G,7435,17.25,0.15,Y,24,1
25,58647,RENT,28.7,PERSONAL,A,28875,20.83,0.49,Y,8,1
25,111423,MORTGAGE,25.0,EDUCATION,D,13430,19.16,0.12,N,21,0
50,85514,RENT,17.7,HOMEIMPROVEMENT,A,5713,8.52,0.07,Y,10,1
54,160846,OWN,28.0,DEBTCONSOLIDATION,G,5466,8.76,0.03,N,26,0
30,113459,MORTGAGE,24.1,HOMEIMPROVEMENT,F,19204,9.37,0.17,N,28,0
35,149080,RENT,26.2,DEBTCONSOLIDATION,C,18945,20.09,0.13,Y,3,1
42,25834,OTHER,3.2,DEBTCONSOLIDATION,D,1286,24.54,0.05,Y,12,1
43,192996,RENT,22.8,DEBTCONSOLIDATION,G,21410,14.02,0.11,N,13,0
51,92175,OWN,9.1,EDUCATION,A,23627,13.19,0.26,N,12,0
45,131536,OTHER,18.1,EDUCATION,F,25768,13.39,0.2,Y,29,1
40,109996,OWN,16.0,PERSONAL,D,11823,8.02,0.11,Y,8,1
45,133807,OWN,10.8,EDUCATION,A,33092,12.84,0.25,N,28,0
55,82789,OWN,7.6,HOMEIMPROVEMENT,F,33211,13.66,0.4,Y,17,0
23,102633,RENT,2.7,MEDICAL,F,31741,17.16,0.31,Y,9,1
51,66728,OTHER,19.6,MEDICAL,F,10894,11.77,0.16,N,23,0
59,41941,OWN,21.2,MEDICAL,F,24968,21.14,0.6,Y,13,1
50,26547,RENT,17.9,VENTURE,B,14226,23.89,0.54,Y,29,0
60,134829,MORTGAGE,22.2,HOMEIMPROVEMENT,G,22196,18.97,0.16,Y,12,0
56,70011,OWN,32.5,EDUCATION,D,31285,22.81,0.45,N,18,0
44,48890,MORTGAGE,3.3,VENTURE,D,17933,6.34,0.37,N,26,1
37,196622,OWN,14.6,PERSONAL,D,16660,9.47,0.08,Y,12,1
59,136498,OWN,31.3,MEDICAL,D,21089,17.1,0.15,Y,28,0
32,166653,RENT,11.8,PERSONAL,F,13275,15.47,0.08,N,9,0
47,193670,RENT,11.9,EDUCATION,B,19905,5.51,0.1,N,4,0
29,127095,OTHER,22.2,HOMEIMPROVEMENT,D,21084,7.15,0.17,N,16,0
65,169001,OTHER,11.4,HOMEIMPROVEMENT,B,21655,24.12,0.13,Y,3,0
55,135069,MORTGAGE,5.7,DEBTCONSOLIDATION,D,2168,17.58,0.02,N,14,1
59,19052,MORTGAGE,13.0,HOMEIMPROVEMENT,A,34035,6.12,1.79,Y,17,1
24,46676,OWN,4.1,EDUCATION,F,15901,6.84,0.34,N,13,1
46,100065,RENT,19.7,HOMEIMPROVEMENT,A,34885,13.33,0.35,N,24,1
25,64330,OTHER,6.4,MEDICAL,B,16180,6.13,0.25,Y,3,0
64,69118,OTHER,1.7,EDUCATION,G,15747,24.0,0.23,Y,18,1
44,176285,OTHER,0.8,MEDICAL,D,2040,18.39,0.01,N,19,1
32,164578,RENT,8.4,HOMEIMPROVEMENT,D,968,11.99,0.01,Y,20,0
52,53038,OTHER,8.5,HOMEIMPROVEMENT,A,18942,10.31,0.36,N,18,0
32,169283,MORTGAGE,13.4,MEDICAL,C,26231,7.38,0.15,N,16,0
58,180762,OTHER,8.2,PERSONAL,A,25892,21.09,0.14,Y,8,0
39,190813,OWN,35.5,MEDICAL,C,30894,6.09,0.16,Y,20,0
36,66834,RENT,12.4,EDUCATION,G,12356,22.21,0.18,Y,17,0
44,198735,MORTGAGE,18.3,VENTURE,E,11330,23.42,0.06,N,19,0
62,75147,RENT,24.7,PERSONAL,G,2544,17.39,0.03,Y,10,0
39,126669,OTHER,29.1,EDUCATION,A,4008,12.36,0.03,Y,15,0
43,29949,MORTGAGE,16.7,PERSONAL,C,2793,22.97,0.09,N,6,0
33,41542,RENT,35.2,VENTURE,B,1440,7.25,0.03,Y,16,0
57,192168,MORTGAGE,10.8,DEBTCONSOLIDATION,E,31939,6.27,0.17,Y,8,1
63,108939,RENT,1.5,VENTURE,G,31020,13.25,0.28,Y,20,0
62,26517,MORTGAGE,28.4,DEBTCONSOLIDATION,D,13784,21.04,0.52,Y,23,1
32,71556,OTHER,32.4,DEBTCONSOLIDATION,A,29030,16.18,0.41,N,27,1
23,85108,MORTGAGE,3.5,MEDICAL,D,31464,15.89,0.37,N,23,0
55,151758,OWN,12.8,DEBTCONSOLIDATION,C,27173,8.48,0.18,N,13,0
42,86663,OWN,32.6,VENTURE,F,27227,12.21,0.31,N,4,0
28,97242,MORTGAGE,25.8,VENTURE,G,11266,22.79,0.12,N,18,0
60,48024,MORTGAGE,21.6,DEBTCONSOLIDATION,B,9643,24.54,0.2,Y,28,0
25,119832,RENT,39.6,HOMEIMPROVEMENT,A,34550,7.08,0.29,Y,10,0
62,53175,OWN,27.4,MEDICAL,D,8162,11.51,0.15,N,19,0
53,182200,OTHER,8.8,MEDICAL,F,27238,18.76,0.15,Y,9,0
49,50816,OWN,28.6,HOMEIMPROVEMENT,G,7564,14.9,0.15,Y,24,0
35,116461,MORTGAGE,33.0,HOMEIMPROVEMENT,F,6829,24.03,0.06,Y,2,1
38,41739,OWN,7.4,DEBTCONSOLIDATION,A,4892,10.07,0.12,Y,15,0
62,115644,RENT,27.9,MEDICAL,C,25911,12.5,0.22,N,15,0
50,176519,RENT,27.2,PERSONAL,D,21447,12.03,0.12,N,24,0
44,151300,RENT,16.9,HOMEIMPROVEMENT,E,23506,23.98,0.16,N,2,0
51,32761,OTHER,10.1,PERSONAL,A,16581,19.49,0.51,Y,16,1
41,73275,OTHER,1.4,MEDICAL,E,30069,9.33,0.41,N,5,1
28,165563,RENT,37.4,VENTURE,A,33403,8.62,0.2,N,24,0
54,181364,RENT,10.1,PERSONAL,F,34364,14.82,0.19,N,11,0
22,86096,MORTGAGE,17.1,DEBTCONSOLIDATION,B,5534,8.98,0.06,N,9,1
61,56302,OTHER,1.8,EDUCATION,B,22786,22.31,0.4,N,9,0
64,40432,RENT,6.6,EDUCATION,F,2051,13.76,0.05,N,27,0
21,195705,MORTGAGE,25.4,PERSONAL,D,31541,5.67,0.16,N,19,0
24,27085,RENT,10.5,DEBTCONSOLIDATION,C,31605,13.03,1.17,Y,30,1
21,52466,RENT,22.8,DEBTCONSOLIDATION,B,29735,18.2,0.57,N,19,1
24,182035,OWN,23.3,PERSONAL,E,3105,9.64,0.02,Y,11,1
64,112422,RENT,14.9,HOMEIMPROVEMENT,G,1297,7.26,0.01,N,20,0
39,45929,MORTGAGE,36.8,VENTURE,G,14495,8.77,0.32,N,17,0
26,55198,OTHER,22.1,DEBTCONSOLIDATION,E,5147,7.92,0.09,Y,29,0
24,135223,RENT,22.6,EDUCATION,F,27599,21.8,0.2,N,9,0
46,25642,OTHER,1.7,MEDICAL,G,26362,5.55,1.03,N,14,1
34,43377,OTHER,24.6,HOMEIMPROVEMENT,D,10807,9.83,0.25,N,17,0
47,167239,RENT,16.7,HOMEIMPROVEMENT,A,10039,20.46,0.06,Y,13,1
37,131767,MORTGAGE,12.1,HOMEIMPROVEMENT,E,21936,23.39,0.17,N,18,0
64,164549,OWN,18.8,PERSONAL,F,32591,24.5,0.2,Y,10,0
37,85745,OWN,12.5,MEDICAL,B,13034,11.97,0.15,N,8,0
53,187235,OTHER,11.1,HOMEIMPROVEMENT,D,12843,20.37,0.07,Y,27,0
38,59798,MORTGAGE,28.5,HOMEIMPROVEMENT,C,13899,20.96,0.23,Y,5,0
38,177403,OWN,8.2,DEBTCONSOLIDATION,G,22610,8.66,0.13,N,13,0
50,197968,MORTGAGE,37.3,VENTURE,E,22873,7.93,0.12,Y,10,1
44,154358,OTHER,0.1,EDUCATION,G,17199,23.56,0.11,N,19,0
37,143986,OTHER,8.0,PERSONAL,D,32583,16.91,0.23,N,15,0
27,46628,OWN,4.9,PERSONAL,A,5105,10.55,0.11,N,6,0
63,120956,OWN,1.6,DEBTCONSOLIDATION,E,4424,5.2,0.04,N,21,0
38,122670,OWN,9.2,HOMEIMPROVEMENT,E,17980,23.56,0.15,N,28,1
21,155151,MORTGAGE,30.5,EDUCATION,G,25618,9.06,0.17,Y,7,1
59,80707,OTHER,5.0,EDUCATION,G,27133,9.42,0.34,N,21,1
31,67761,MORTGAGE,4.3,EDUCATION,F,20717,13.7,0.31,N,16,1
26,31495,OTHER,28.5,VENTURE,B,25696,22.01,0.82,N,2,0
37,63773,OTHER,17.5,HOMEIMPROVEMENT,C,21607,5.41,0.34,N,28,0
33,107769,OWN,28.1,HOMEIMPROVEMENT,G,25250,8.37,0.23,N,8,0
42,116195,MORTGAGE,10.0,MEDICAL,B,25367,17.01,0.22,N,2,0
56,73982,RENT,18.1,PERSONAL,D,23121,12.19,0.31,Y,17,1
48,121185,RENT,17.5,MEDICAL,B,18137,12.33,0.15,N,17,0
34,163483,OWN,33.8,VENTURE,C,3644,20.21,0.02,Y,24,0
25,171336,RENT,10.0,HOMEIMPROVEMENT,C,30194,7.98,0.18,Y,29,0
31,70054,OTHER,12.5,HOMEIMPROVEMENT,A,15692,22.44,0.22,Y,20,0
31,85561,OTHER,37.7,EDUCATION,B,1626,21.15,0.02,Y,21,0
24,36610,MORTGAGE,32.7,EDUCATION,E,8635,20.58,0.24,N,25,1
54,58970,OWN,31.5,MEDICAL,G,11758,20.33,0.2,Y,18,0
23,113233,OWN,6.7,VENTURE,B,9169,9.84,0.08,N,20,0
49,74432,OTHER,7.0,PERSONAL,F,16767,8.24,0.23,Y,4,0
28,10150,MORTGAGE,18.4,VENTURE,F,26387,16.01,2.6,N,30,1
61,146224,MORTGAGE,31.5,HOMEIMPROVEMENT,F,27055,20.03,0.19,N,7,0
51,43093,RENT,8.3,HOMEIMPROVEMENT,C,20058,7.31,0.47,N,14,0
43,16258,MORTGAGE,19.5,PERSONAL,B,29043,20.5,1.79,Y,16,0
28,180150,MORTGAGE,15.9,EDUCATION,A,15381,23.07,0.09,N,17,0
65,131950,MORTGAGE,35.3,VENTURE,B,27749,24.19,0.21,Y,6,0
26,87442,MORTGAGE,2.1,VENTURE,D,28902,6.56,0.33,N,13,0
55,135071,RENT,37.4,VENTURE,A,23600,11.63,0.17,N,18,0
26,48257,MORTGAGE,2.4,HOMEIMPROVEMENT,B,34650,12.43,0.72,N,14,0
59,130662,MORTGAGE,24.9,MEDICAL,C,3836,21.02,0.03,Y,30,0
51,123615,RENT,26.7,HOMEIMPROVEMENT,F,33657,6.35,0.27,Y,28,1
62,197241,OTHER,29.3,DEBTCONSOLIDATION,C,9934,7.84,0.05,Y,4,0
37,113389,OWN,1.7,MEDICAL,A,9212,8.89,0.08,Y,15,0
29,121912,MORTGAGE,39.6,EDUCATION,A,4840,8.27,0.04,Y,10,0
24,67434,OTHER,36.6,EDUCATION,F,32840,7.28,0.49,N,27,0
59,107548,OTHER,38.2,MEDICAL,E,22166,17.63,0.21,N,18,1
63,197842,MORTGAGE,32.2,EDUCATION,B,1956,13.68,0.01,N,12,0
39,140776,OTHER,2.1,HOMEIMPROVEMENT,C,17384,7.13,0.12,Y,19,0
34,75205,OTHER,36.2,PERSONAL,F,33650,12.26,0.45,N,15,0
39,31267,OWN,6.5,VENTURE,F,4846,20.5,0.15,Y,15,1
47,50382,OTHER,18.9,PERSONAL,C,24773,7.36,0.49,Y,17,0
51,113899,OWN,16.2,EDUCATION,C,16440,17.21,0.14,Y,12,1
40,165568,OTHER,34.1,PERSONAL,A,5894,20.92,0.04,Y,6,0
51,34199,OWN,39.7,PERSONAL,D,12137,5.65,0.35,N,28,1
63,193496,MORTGAGE,26.6,PERSONAL,A,11327,22.86,0.06,N,5,1
57,31586,RENT,24.6,EDUCATION,G,11636,22.94,0.37,N,5,1
38,171332,RENT,33.3,MEDICAL,B,4756,14.25,0.03,N,7,0
64,144975,RENT,19.9,EDUCATION,F,19092,5.64,0.13,N,23,1
50,128622,MORTGAGE,38.1,MEDICAL,C,26786,13.36,0.21,Y,27,0
39,184654,MORTGAGE,8.4,VENTURE,B,10672,5.74,0.06,Y,20,0
29,38226,OTHER,5.0,DEBTCONSOLIDATION,A,19012,20.41,0.5,N,20,1
50,124120,OTHER,4.9,DEBTCONSOLIDATION,F,20327,23.75,0.16,Y,30,1
22,105475,OWN,15.6,MEDICAL,A,3705,5.63,0.04,N,14,0
51,131504,OTHER,31.3,MEDICAL,D,9209,21.32,0.07,N,23,0
56,193462,OWN,0.3,EDUCATION,C,27749,6.86,0.14,N,6,1
28,72920,OTHER,38.3,EDUCATION,F,12330,13.36,0.17,Y,22,1
41,171186,MORTGAGE,13.5,PERSONAL,D,33338,9.03,0.19,Y,12,0
52,81682,OTHER,35.6,HOMEIMPROVEMENT,E,13388,13.7,0.16,Y,16,0
57,153425,MORTGAGE,21.6,VENTURE,A,19144,11.65,0.12,N,20,0
24,134391,OTHER,37.2,HOMEIMPROVEMENT,E,15635,23.46,0.12,Y,16,1
61,20147,OWN,26.7,HOMEIMPROVEMENT,C,26374,10.31,1.31,Y,3,1
48,72647,OTHER,0.1,PERSONAL,A,18432,15.71,0.25,N,2,0
60,90269,RENT,19.9,HOMEIMPROVEMENT,B,19345,20.59,0.21,Y,14,0
41,56461,OWN,0.6,VENTURE,A,22046,17.94,0.39,N,2,1
36,54308,MORTGAGE,26.9,VENTURE,B,28447,9.08,0.52,Y,13,1
38,91131,RENT,3.0,EDUCATION,G,8458,22.06,0.09,Y,9,1
37,56916,RENT,30.6,MEDICAL,A,33298,20.32,0.59,N,18,1
62,171052,MORTGAGE,31.4,MEDICAL,G,6531,12.06,0.04,N,27,1
36,14778,RENT,39.7,EDUCATION,B,22919,8.21,1.55,Y,17,0
60,102112,RENT,13.6,VENTURE,G,28837,7.07,0.28,N,8,1
59,177113,OTHER,30.9,DEBTCONSOLIDATION,F,4884,24.52,0.03,Y,28,0
51,156134,OTHER,15.5,DEBTCONSOLIDATION,C,13549,23.0,0.09,Y,16,1
56,103171,RENT,39.5,MEDICAL,F,22698,13.31,0.22,Y,12,0
25,45148,RENT,23.8,HOMEIMPROVEMENT,G,8134,16.86,0.18,N,17,0
55,99313,RENT,25.0,PERSONAL,G,21279,9.92,0.21,N,11,1
26,24395,MORTGAGE,26.6,EDUCATION,F,17426,21.31,0.71,Y,10,1
46,29502,MORTGAGE,3.0,MEDICAL,F,20149,13.14,0.68,Y,11,1
65,34399,OWN,37.3,HOMEIMPROVEMENT,E,7061,12.25,0.21,Y,10,0
40,42434,OWN,23.1,HOMEIMPROVEMENT,G,5666,9.63,0.13,N,11,0
55,151900,RENT,32.5,HOMEIMPROVEMENT,E,19977,23.13,0.13,N,5,0
22,91760,OTHER,3.7,MEDICAL,C,3911,7.74,0.04,Y,20,1
50,21147,OTHER,32.4,VENTURE,E,7505,10.29,0.35,Y,4,1
31,179996,RENT,25.2,PERSONAL,D,14814,19.57,0.08,Y,7,0
63,143610,OWN,39.6,PERSONAL,F,34773,22.5,0.24,Y,17,0
23,122649,OWN,24.5,VENTURE,B,19682,11.89,0.16,N,20,0
57,85409,MORTGAGE,10.0,PERSONAL,F,28039,10.1,0.33,N,2,0
45,164858,OWN,29.9,DEBTCONSOLIDATION,B,12582,21.29,0.08,Y,23,1
65,20539,OWN,39.9,DEBTCONSOLIDATION,A,5231,18.68,0.25,Y,8,1
27,160621,RENT,26.1,DEBTCONSOLIDATION,A,1401,13.27,0.01,N,8,0
29,199874,RENT,34.8,MEDICAL,D,25320,18.19,0.13,N,16,0
60,48250,OWN,15.6,EDUCATION,G,16410,14.8,0.34,N,15,1
20,123585,OTHER,6.3,PERSONAL,F,30564,15.49,0.25,Y,15,1
38,46883,MORTGAGE,11.2,VENTURE,G,1402,14.46,0.03,Y,20,0
39,178886,OWN,18.0,DEBTCONSOLIDATION,G,18562,21.79,0.1,N,10,1
34,124852,OWN,0.7,EDUCATION,F,32344,12.69,0.26,Y,5,1
43,146846,MORTGAGE,27.6,MEDICAL,G,34348,20.99,0.23,N,2,1
26,73235,MORTGAGE,10.1,EDUCATION,G,12489,17.55,0.17,Y,6,0
40,190784,OTHER,22.7,PERSONAL,D,13175,8.75,0.07,N,25,0
36,192459,MORTGAGE,23.4,DEBTCONSOLIDATION,D,23888,6.92,0.12,N,21,1
35,95122,RENT,34.3,MEDICAL,D,16305,15.65,0.17,N,9,0
55,14307,RENT,4.1,EDUCATION,B,27417,22.33,1.92,Y,16,1
24,36899,OTHER,28.7,EDUCATION,F,14559,9.37,0.39,Y,3,1
57,117253,RENT,39.7,DEBTCONSOLIDATION,E,29980,22.86,0.26,Y,12,0
59,41137,RENT,32.2,HOMEIMPROVEMENT,E,16307,5.88,0.4,N,19,1
64,11666,OTHER,32.7,EDUCATION,G,27488,22.75,2.36,Y,4,1
34,160909,MORTGAGE,0.0,DEBTCONSOLIDATION,C,23889,20.07,0.15,Y,2,0
60,159868,RENT,26.7,EDUCATION,B,10786,9.68,0.07,Y,25,1
33,61811,OWN,11.8,PERSONAL,F,29956,9.51,0.48,Y,3,1
33,106113,MORTGAGE,33.4,VENTURE,B,4646,21.67,0.04,Y,17,0
30,108182,RENT,21.3,DEBTCONSOLIDATION,G,28048,7.17,0.26,Y,8,1
46,38426,OTHER,9.2,EDUCATION,C,34595,19.27,0.9,N,30,0
58,149682,OWN,38.1,VENTURE,B,29668,10.58,0.2,N,21,0
21,61450,OTHER,11.8,HOMEIMPROVEMENT,D,6465,22.49,0.11,Y,27,0
23,70224,RENT,22.4,VENTURE,F,9361,6.06,0.13,Y,19,0
28,73041,RENT,20.3,HOMEIMPROVEMENT,E,5360,9.83,0.07,Y,12,0
25,78067,MORTGAGE,13.3,EDUCATION,G,12185,5.88,0.16,N,29,0
28,67804,RENT,20.7,HOMEIMPROVEMENT,D,5181,13.44,0.08,Y,25,0
49,53157,MORTGAGE,39.7,MEDICAL,A,2669,20.31,0.05,Y,26,0
21,199553,RENT,3.3,EDUCATION,G,5812,6.65,0.03,Y,17,0
26,125075,MORTGAGE,2.3,DEBTCONSOLIDATION,F,2193,19.38,0.02,N,12,0
27,142125,MORTGAGE,30.1,MEDICAL,B,6073,15.92,0.04,Y,21,0
54,134984,MORTGAGE,19.6,PERSONAL,B,12016,21.49,0.09,N,18,0
22,92343,OTHER,18.8,HOMEIMPROVEMENT,D,31125,5.53,0.34,Y,2,1
35,109063,MORTGAGE,25.5,PERSONAL,C,34309,10.5,0.31,Y,14,1
27,71814,OTHER,6.0,MEDICAL,E,15432,24.81,0.21,N,23,1
